baseline_autoregressive_time,baseline_incremental_decode_time,baseline_prefill_time,baseline_trace_generation_inference_time,context_generation_time,inference_time,kv_cache_mode,max_context,min_user_len,model_name,num_threads,quantization_time
10931,748,10182,10417,15744,21349,pre-requant,64,62,gpt2,14,1742
10943,717,10225,10232,15517,21175,pre-requant,64,62,gpt2,14,1679
11199,763,10435,10538,14843,21738,pre-requant,64,62,gpt2,14,1715
