decode_tokens,original_total_s,post_total_s,total_speedup_pct,original_incremental_s,post_incremental_s,incremental_speedup_pct,original_mean_incremental_s,post_mean_incremental_s,original_requant_elements,post_requant_elements,requant_elements_reduction_pct,original_requant_s,post_requant_s,requant_time_reduction_pct,original_cache_bytes,post_cache_bytes
1,9.532115,9.176491,3.7308,0.000000,0.000000,0.0000,0.000000,0.000000,1179648,1179648,0.0000,0.022373,0.022870,-2.2214,9437184,9437184
4,10.064718,10.406258,-3.3934,0.941104,0.879942,6.4990,0.313701,0.293314,4829184,1234944,74.4275,0.093053,0.024358,73.8235,9879552,9879552
8,11.427231,11.899111,-4.1294,2.203869,2.106945,4.3979,0.314838,0.300992,9953280,1308672,86.8519,0.191912,0.026261,86.3161,10469376,10469376
16,14.105892,14.006313,0.7059,4.789595,4.471563,6.6401,0.319306,0.298104,21086208,1456128,93.0944,0.403692,0.030063,92.5529,11649024,11649024
